;; 追加
emptyset /∅/

;; LaTeX Symbol Dictionary
;; Copyright: (c) 2021 TANIGUCHI Masaya
;;
;; Original: http://milde.users.sourceforge.net/LUCR/Math/unimathsymbols.html
;; Copyright: (c) 2011 G"unter Milde
;; Date: Last revised 2011-11-08
;; License: This work may be distributed and/or modified under the condition of
;;          LaTeX Project Public License, eiter version 1.3 of this license or
;;          (at your option) any later version.
;; okuri-ari entries.
;; okuri-nasi entries.
exclam /!/
octothorpe /#/
mathdollar /$/
percent /%/
ampersand /&/
lparen /(/
rparen /)/
plus /+/
comma /,/
period /./
;; mathslash ///
mathcolon /:/
;; semicolon /;/
less /</
equal /=/
greater />/
question /?/
atsign /@/
;; lbrack /[/
backslash /\/
rbrack /]/
sphat /^/
lbrace /{/
vert /|/
rbrace /}/
sptilde /~/
cent /¢/
pounds /£/
sterling /£/
yen /¥/
spddot /¨/
neg /¬/
circledR /®/
pm /±/
Micro /µ/
cdotp /·/
times /×/
eth /ð/
matheth /ð/
div /÷/
imath /ı/
Zbar /Ƶ/
jmath /ȷ/
grave / /
acute / /
hat / ̂/
tilde / /
bar / ̄/
overline / ¯/
overbar / ¯/
breve / ̆/
dot / ̇/
ddot / ̈/
ovhook / /
mathring / ̊/
ocirc / ̊/
check / ̌/
candra / ̐/
oturnedcomma / ̒/
ocommatopright / ̕/
droang / ̚/
utilde / ̰/
wideutilde / ̰/
underbar / ̱/
underline / ̲/
not / ̸/
upAlpha /Α/
upBeta /Β/
Gamma /Γ/
upGamma /Γ/
Delta /Δ/
upDelta /Δ/
upEpsilon /Ε/
upZeta /Ζ/
upEta /Η/
Theta /Θ/
upTheta /Θ/
upIota /Ι/
upKappa /Κ/
Lambda /Λ/
upLambda /Λ/
upMu /Μ/
upNu /Ν/
Xi /Ξ/
upXi /Ξ/
upOmicron /Ο/
Pi /Π/
upPi /Π/
upRho /Ρ/
Sigma /Σ/
upSigma /Σ/
upTau /Τ/
Upsilon /Υ/
upUpsilon /Υ/
Phi /Φ/
upPhi /Φ/
upChi /Χ/
Psi /Ψ/
upPsi /Ψ/
Omega /Ω/
upOmega /Ω/
alpha /α/
upalpha /α/
beta /β/
upbeta /β/
gamma /γ/
upgamma /γ/
delta /δ/
updelta /δ/
varepsilon /ε/
upepsilon /ε/
zeta /ζ/
upzeta /ζ/
eta /η/
upeta /η/
theta /θ/
uptheta /θ/
iota /ι/
upiota /ι/
kappa /κ/
upkappa /κ/
lambda /λ/
uplambda /λ/
mu /μ/
upmu /μ/
nu /ν/
upnu /ν/
xi /ξ/
upxi /ξ/
upomicron /ο/
pi /π/
uppi /π/
rho /ρ/
uprho /ρ/
varsigma /ς/
upvarsigma /ς/
sigma /σ/
upsigma /σ/
tau /τ/
uptau /τ/
upsilon /υ/
upupsilon /υ/
varphi /φ/
upvarphi /φ/
chi /χ/
upchi /χ/
psi /ψ/
uppsi /ψ/
omega /ω/
upomega /ω/
varbeta /ϐ/
upvarbeta /ϐ/
vartheta /ϑ/
upvartheta /ϑ/
upUpsilon /ϒ/
phi /ϕ/
upphi /ϕ/
varpi /ϖ/
upvarpi /ϖ/
Qoppa /Ϙ/
upoldKoppa /Ϙ/
qoppa /ϙ/
upoldkoppa /ϙ/
Stigma /Ϛ/
upStigma /Ϛ/
stigma /ϛ/
upstigma /ϛ/
Digamma /Ϝ/
upDigamma /Ϝ/
digamma /ϝ/
updigamma /ϝ/
Koppa /Ϟ/
upKoppa /Ϟ/
koppa /ϟ/
upkoppa /ϟ/
Sampi /Ϡ/
upSampi /Ϡ/
sampi /ϡ/
upsampi /ϡ/
varkappa /ϰ/
upvarkappa /ϰ/
varrho /ϱ/
upvarrho /ϱ/
upvarTheta /ϴ/
epsilon /ϵ/
upvarepsilon /ϵ/
backepsilon /϶/
upbackepsilon /϶/
quad / /
horizbar /―/
Vert /‖/
twolowline /‗/
dagger /†/
ddagger /‡/
;; bullet //
;; smblkcircle //
enleadertwodots /‥/
ldots /…/
unicodeellipsis /…/
prime /′/
second /″/
dprime /″/
third /‴/
trprime /‴/
backprime /‵/
backdprime /‶/
backtrprime /‷/
caretinsert /‸/
Exclam /‼/
cat /⁀/
tieconcat /⁀/
hyphenbullet /⁃/
fracslash /⁄/
Question /⁇/
closure /⁐/
fourth /⁗/
qprime /⁗/
euro /€/
lvec /x⃐/
leftharpoonaccent /x⃐/
vec /x⃑/
rightharpoonaccent /x⃑/
vertoverlay /x⃒/
LVec /x⃖/
overleftarrow /x⃖/
vec /x⃗/
dddot /x⃛/
ddddot /x⃜/
enclosecircle /x⃝/
enclosesquare /x⃞/
enclosediamond /x⃟/
overleftrightarrow /x⃡/
enclosetriangle /x⃤/
annuity /x⃧/
threeunderdot /x⃨/
widebridgeabove /x⃩/
underrightharpoondown /x⃬/
underleftharpoondown /x⃭/
underleftarrow /x⃮/
underrightarrow /x⃯/
asteraccent /x⃰/
BbbC /ℂ/
Euler /ℇ/
Eulerconst /ℇ/
mscrg /ℊ/
mscrH /ℋ/
mfrakH /ℌ/
BbbH /ℍ/
Planckconst /ℎ/
hslash /ℏ/
mscrI /ℐ/
Im /ℑ/
mscrL /ℒ/
ell /ℓ/
BbbN /ℕ/
wp /℘/
BbbP /ℙ/
BbbQ /ℚ/
mscrR /ℛ/
